datetime	lat	long	alt	vel_x	vel_y	vel_z	acc_x	elevation	source	location	vehicle	device	freq	sig_strength	sig_strength_Dbm		
35:04.1	33.14969341	-116.6581694	16.53125	-0.312828511	0.299558133	0.115921825		16.53125	0	1	0	0	470.309	-21.889894	-71.06492972		
35:06.5	33.14969539	-116.6581647	16.46850586	0.026684517	0.093928918	0.094816588		16.46850586	0	1	0	0	470.309	-24.679363	-73.7037674		
35:08.9	33.14969518	-116.6581699	16.6427002	-0.262207508	0.072386049	-0.101292223		16.6427002	0	1	0	0	470.309	-21.591043	-69.71433926		
35:11.2	33.14969505	-116.6581651	16.38598633	0.064823575	0.257023364	0.146261141		16.38598633	0	1	0	0	470.309	-22.510691	-71.65220369		
35:13.7	33.14969576	-116.6581663	16.86120605	-0.099896863	0.13553077	-0.046094153		16.86120605	0	1	0	0	470.309	-22.206055	-71.36401803		
35:16.1	33.14969513	-116.6581662	16.61962891	-0.082332052	-0.14613606	-0.08233048		16.61962891	0	1	0	0	470.309	-19.775465	-67.88786779		
35:18.5	33.14969472	-116.6581685	16.48278809	-0.121950038	0.148321271	0.017011169		16.48278809	0	1	0	0	470.309	-19.691181	-67.80307809		
35:21.0	33.14969582	-116.658167	16.48718262	0.041027244	0.00587366	0.05789528		16.48718262	0	1	0	0	470.309	-21.151632	-69.27229179		
35:23.4	33.14969439	-116.6581673	16.58886719	-0.074690796	0.068347275	-0.074645877		16.58886719	0	1	0	0	470.309	-19.021753	-67.12963352		
35:25.9	33.14969555	-116.6581658	16.55688477	-0.021947838	0.012994328	-0.016499244		16.55688477	0	1	0	0	470.309	-20.641859	-68.75946015		
35:28.3	33.14969598	-116.6581671	21.23339844	-0.393710136	0.071203142	0.321776032		21.23339844	0	1	0	0	470.309	-22.080452	-71.24519759		
35:30.8	33.14969547	-116.6581673	24.17089844	-0.048155863	0.130241409	1.567500353		24.17089844	0	1	0	0	470.309	-21.44908	-69.57152448		
35:33.4	33.14969516	-116.6581676	27.8560791	-0.087359466	0.083891667	1.350166917		27.8560791	0	1	0	0	470.309	-21.16683	-69.28758098		
35:35.9	33.14969451	-116.6581675	30.55700684	-0.057322092	0.103049673	0.217204943		30.55700684	0	1	0	0	470.309	-20.897245	-69.01637847		
35:38.5	33.14969496	-116.658167	30.49169922	0.111900553	0.186056122	-0.096490294		30.49169922	0	1	0	0	470.309	-20.510063	-68.62687338		
35:41.1	33.14970741	-116.6581887	30.58081055	1.385199904	-2.518436432	0.085341841		30.58081055	0	1	0	0	470.309	-20.940233	-69.0596244		
