ID    Loop#    Timestamp    Frequency    Latitude    Longitude        RF reading
LTE-CMP13     0    1540667338.15    1990000000.0    32.719470283    -116.396176233        -106.453400
LTE-CMP14     0    1540667340.7    1990100000.0    32.7195225    -116.396695983        -106.694412
LTE-CMP15     0    1540667343.26    1990300000.0    32.719568933    -116.397188117        -104.002685
LTE-CMP7     0    1540667345.91    2119900000.0    32.7196248    -116.397708917        -104.639366
LTE-4     0    1540667348.47    2120000000.0    32.719673    -116.3982397        -122.628365
LTE-CMP8     0    1540667351.02    2120100000.0    32.7197002    -116.398775117        -112.735580
LTE-CMP9     0    1540667353.58    2120300000.0    32.719704283    -116.399306133        -99.441925
LTE-CMP10     0    1540667356.13    2147200000.0    32.719684783    -116.399873417        -110.090866
LTE-F     0    1540667358.69    2147500000.0    32.719638683    -116.400430183        -108.751121
LTE-CMP11     0    1540667361.36    2325000000.0    32.719562833    -116.40104025        -106.494087
LTE-CMP12     0    1540667363.93    2326000000.0    32.719495283    -116.401632583        -99.977356
CH-2     1    1540667366.62    54309000.0    32.719460583    -116.402226567        -104.896393
CH-3     1    1540667369.19    60309000.0    32.719455883    -116.402793467        -111.968491
CH-4     1    1540667371.76    66309000.0    32.719484317    -116.40338555        -110.888115
CH-5     1    1540667374.33    76309000.0    32.719544633    -116.403992033        -108.130348
CH-6     1    1540667376.9    82309000.0    32.719626233    -116.404530733        -103.076897
CH-7     1    1540667379.57    174309000.0    32.71974245    -116.405101833        -109.515335
CH-8     1    1540667382.14    180309000.0    32.71988185    -116.4056391        -109.751167
CH-9     1    1540667384.71    186309000.0    32.72003195    -116.40611655        -106.633156
CH-10     1    1540667387.28    192309000.0    32.7201816    -116.406538367        -120.470116
CH-11     1    1540667389.85    198309000.0    32.720353433    -116.406976633        -107.614189
CH-12     1    1540667392.41    204309000.0    32.720548117    -116.407393067        -106.558601
CH-13     1    1540667394.98    210309000.0    32.7207625    -116.4078036        -110.830490
CH-14     1    1540667397.65    470309000.0    32.720992567    -116.40822685        -104.649925
CH-15     1    1540667400.22    476309000.0    32.721221783    -116.408643483        -113.997406
CH-16     1    1540667402.79    482309000.0    32.721433283    -116.409030417        -112.207962
CH-17     1    1540667405.37    488309000.0    32.7216193    -116.409344133        -110.060242
CH-18     1    1540667407.94    494309000.0    32.721774067    -116.409612733        -105.492783
CH-19?     1    1540667410.51    500309000.0    32.7218851    -116.409822633        -108.060356
CH-20     1    1540667413.08    506309000.0    32.721969683    -116.40998625        -107.040299
CH-21     1    1540667415.65    512309000.0    32.7220122    -116.410064417        -108.203934
CH-22     1    1540667418.22    518309000.0    32.72203795    -116.4100954        -103.931847
CH-23     1    1540667420.79    524309000.0    32.7220452    -116.41012165        -99.853104
CH-24     1    1540667423.36    530309000.0    32.722050933    -116.4101281        -109.131454
CH-25     1    1540667425.93    536309000.0    32.722050933    -116.4101281        -107.612740
CH-26     1    1540667428.5    542309000.0    32.722050933    -116.4101281        -104.297501
CH-27     1    1540667431.07    548309000.0    32.722050933    -116.4101281        -116.238350
CH-28     1    1540667433.64    554309000.0    32.722050933    -116.4101281        -106.702362
CH-29     1    1540667436.21    560309000.0    32.722050933    -116.4101281        -113.879929
CH-30     1    1540667438.78    566309000.0    32.722050933    -116.4101281        -107.850326
CH-31     1    1540667441.46    572309000.0    32.722050933    -116.4101281        -109.643570
CH-32     1    1540667444.03    578309000.0    32.722050933    -116.4101281        -114.869301
CH-33     1    1540667446.6    584309000.0    32.722050933    -116.4101281        -112.408951
CH-34     1    1540667449.16    590309000.0    32.722050933    -116.4101281        -101.694595
CH-35     1    1540667451.73    596309000.0    32.722050933    -116.4101281        -110.849564
CH-36     1    1540667454.3    602309000.0    32.722050933    -116.4101281        -111.380302
CH-37     1    1540667456.87    608309000.0    32.722050933    -116.4101281        -110.813187
CH-38     1    1540667459.44    614309000.0    32.722050933    -116.4101281        -106.777977
CH-39     1    1540667462.02    620309000.0    32.722051183    -116.41012785        -112.625755
CH-40     1    1540667464.6    626309000.0    32.722051183    -116.41012785        -109.411751
CH-41     1    1540667467.18    632309000.0    32.722051183    -116.41012785        -115.106934
CH-42     1    1540667469.75    638309000.0    32.722051183    -116.41012785        -104.015892
CH-43     1    1540667472.33    644309000.0    32.722051183    -116.41012785        -101.651741
CH-44     1    1540667474.9    650309000.0    32.722051183    -116.41012785        -110.357254
CH-45     1    1540667477.47    656309000.0    32.722051183    -116.41012785        -107.595619
CH-46     1    1540667480.04    662309000.0    32.722051183    -116.41012785        -113.086533
CH-47     1    1540667482.61    668309000.0    32.722051183    -116.41012785        -113.342339
CH-48     1    1540667485.28    674309000.0    32.722051183    -116.41012785        -109.593460
CH-49     1    1540667487.85    680309000.0    32.722051183    -116.41012785        -105.151428
CH-50     1    1540667490.42    686309000.0    32.722051183    -116.41012785        -107.079956
CH-51     1    1540667492.99    692309000.0    32.722051183    -116.41012785        -108.395004
CH-52     1    1540667495.56    701000000.0    32.722051183    -116.41012785        -104.290237
CH-53     1    1540667498.13    707000000.0    32.722051183    -116.41012785        -125.995354
CH-54     1    1540667500.71    713000000.0    32.722051183    -116.41012785        -103.605202
CH-55     1    1540667503.28    719000000.0    32.72205205    -116.410126183        -112.363472
CH-56     1    1540667505.85    725000000.0    32.72205205    -116.410126183        -118.674896
CH-69     1    1540667508.53    803000000.0    32.72205205    -116.410126183        -108.407120
LTE-A     1    1540667511.1    731500000.0    32.72205205    -116.410126183        -112.957809
LTE-CMP1     1    1540667513.67    738900000.0    32.72205205    -116.410126183        -103.938881
LTE-ATT     1    1540667516.24    739000000.0    32.722059533    -116.41014765        -106.717857
LTE-CMP2     1    1540667518.81    750800000.0    32.72207045    -116.4101615        -110.559006
LTE-CMP3     1    1540667521.38    750900000.0    32.722071267    -116.410161017        -103.822617
LTE-B     1    1540667523.95    751000000.0    32.722074967    -116.410170917        -117.330330
LTE-CMP3     1    1540667526.52    751100000.0    32.72208735    -116.4102108        -106.411049
LTE-CMP4     1    1540667529.09    751200000.0    32.722105783    -116.410283517        -112.548012
LTE-Mex1     1    1540667531.78    1962800000.0    32.722163483    -116.4104259        -107.258919
LTE-C     1    1540667534.34    1942500000.0    32.7222818    -116.410671117        -110.115601
LTE-D     1    1540667536.9    1955000000.0    32.722416033    -116.41101445        -105.314201
LTE-CMP5     1    1540667539.47    1969700000.0    32.7225333    -116.41142585        -103.250084
LTE-CMP6     1    1540667542.04    1970000000.0    32.72263735    -116.4119037        -113.410606
LTE-CMP13     1    1540667544.6    1990000000.0    32.722762033    -116.412370817        -104.063553
LTE-CMP14     1    1540667547.15    1990100000.0    32.722952783    -116.4128299        -104.665863
LTE-CMP15     1    1540667549.71    1990300000.0    32.7231628    -116.413193167        -113.858978
LTE-CMP7     1    1540667552.37    2119900000.0    32.723421567    -116.413520617        -97.980614
LTE-4     1    1540667554.93    2120000000.0    32.723666417    -116.41376205        -102.537689
LTE-CMP8     1    1540667557.48    2120100000.0    32.72391975    -116.413982183        -105.702232
LTE-CMP9     1    1540667560.04    2120300000.0    32.724194333    -116.414227733        -90.233002
LTE-CMP10     1    1540667562.59    2147200000.0    32.724477817    -116.414540633        -117.949913
LTE-F     1    1540667565.15    2147500000.0    32.72472635    -116.4148926        -103.755257
LTE-CMP11     1    1540667567.82    2325000000.0    32.7249734    -116.41533915        -102.910873
LTE-CMP12     1    1540667570.39    2326000000.0    32.725143483    -116.41576895        -95.386185
CH-2     2    1540667573.08    54309000.0    32.725294983    -116.41628535        -105.318893
CH-3     2    1540667575.65    60309000.0    32.725408917    -116.416807883        -103.704117
CH-4     2    1540667578.22    66309000.0    32.7254747    -116.417311467        -118.762100
CH-5     2    1540667580.78    76309000.0    32.7255081    -116.417867817        -111.992699
CH-6     2    1540667583.35    82309000.0    32.72551735    -116.41843975        -105.707344
CH-7     2    1540667586.02    174309000.0    32.725515817    -116.419026033        -110.171104
CH-8     2    1540667588.59    180309000.0    32.725512867    -116.419623767        -108.464935
CH-9     2    1540667591.16    186309000.0    32.725509933    -116.420225117        -116.452255
CH-10     2    1540667593.73    192309000.0    32.725507817    -116.420804783        -109.301262
CH-11     2    1540667596.3    198309000.0    32.725508917    -116.42143695        -112.204170
CH-12     2    1540667598.87    204309000.0    32.725511267    -116.4220297        -108.133026
CH-13     2    1540667601.44    210309000.0    32.725511117    -116.422633933        -110.729309
CH-14     2    1540667604.11    470309000.0    32.725510017    -116.423210367        -101.455040
CH-15     2    1540667606.68    476309000.0    32.725496183    -116.423753733        -110.839340
CH-16     2    1540667609.25    482309000.0    32.725456467    -116.424195317        -109.312408
CH-17     2    1540667611.82    488309000.0    32.725390933    -116.424624833        -107.915436
CH-18     2    1540667614.39    494309000.0    32.725295717    -116.425058617        -102.333122
CH-19?     2    1540667616.97    500309000.0    32.725163917    -116.425530367        -109.232224
CH-20     2    1540667619.54    506309000.0    32.725037333    -116.42592315        -103.978027
CH-21     2    1540667622.11    512309000.0    32.724941883    -116.4262008        -112.784775
CH-22     2    1540667624.68    518309000.0    32.724875933    -116.4264026        -106.247162
CH-23     2    1540667627.25    524309000.0    32.7247986    -116.426479017        -103.710739
CH-24     2    1540667629.82    530309000.0    32.724698633    -116.4264732        -107.631630
CH-25     2    1540667632.39    536309000.0    32.724564867    -116.42649635        -104.811996
CH-26     2    1540667634.96    542309000.0    32.724375767    -116.426592167        -114.714340
CH-27     2    1540667637.53    548309000.0    32.72413925    -116.42671055        -104.327240
CH-28     2    1540667640.09    554309000.0    32.723857733    -116.426854633        -106.479744
CH-29     2    1540667642.66    560309000.0    32.723558483    -116.4270071        -103.843529
CH-30     2    1540667645.23    566309000.0    32.723273333    -116.427110117        -107.267662
CH-31     2    1540667647.91    572309000.0    32.7230604    -116.427160717        -101.782288
CH-32     2    1540667650.48    578309000.0    32.722893733    -116.42719765        -101.493362
CH-33     2    1540667653.05    584309000.0    32.7227511    -116.4272315        -105.706986
CH-34     2    1540667655.62    590309000.0    32.7225637    -116.427279033        -111.258987
CH-35     2    1540667658.19    596309000.0    32.72232575    -116.427334617        -104.173584
CH-36     2    1540667660.76    602309000.0    32.722043933    -116.427404883        -110.255043
CH-37     2    1540667663.33    608309000.0    32.72177185    -116.42750335        -113.861527
CH-38     2    1540667665.9    614309000.0    32.7215718    -116.427702133        -110.290604
CH-39     2    1540667668.47    620309000.0    32.7214318    -116.4279982        -105.117806
CH-40     2    1540667671.04    626309000.0    32.72129055    -116.428299517        -104.267639
CH-41     2    1540667673.61    632309000.0    32.72108595    -116.428524017        -117.842712
CH-42     2    1540667676.18    638309000.0    32.720807217    -116.428660633        -111.722824
CH-43     2    1540667678.75    644309000.0    32.72049045    -116.428765267        -112.356354
CH-44     2    1540667681.32    650309000.0    32.720176783    -116.42886985        -120.301689
CH-45     2    1540667683.89    656309000.0    32.719849583    -116.42898785        -106.957207
CH-46     2    1540667686.46    662309000.0    32.719529183    -116.429089867        -110.674240
CH-47     2    1540667689.03    668309000.0    32.719220267    -116.429164167        -103.581383
CH-48     2    1540667691.7    674309000.0    32.718876767    -116.42923575        -111.103195
CH-49     2    1540667694.27    680309000.0    32.718557683    -116.429299317        -117.584305
CH-50     2    1540667696.85    686309000.0    32.718215533    -116.429378017        -123.750176
CH-51     2    1540667699.41    692309000.0    32.7178802    -116.4294504        -116.168060
CH-52     2    1540667701.98    701000000.0    32.71755125    -116.42951535        -109.115662
CH-53     2    1540667704.55    707000000.0    32.7172083    -116.429576783        -102.866966
CH-54     2    1540667707.12    713000000.0    32.71687295    -116.429639983        -106.522766
CH-55     2    1540667709.69    719000000.0    32.71653035    -116.429709717        -111.930336
CH-56     2    1540667712.26    725000000.0    32.716195517    -116.429778533        -108.082626
CH-69     2    1540667714.93    803000000.0    32.715827583    -116.42985485        -106.163567
LTE-A     2    1540667717.5    731500000.0    32.715474617    -116.429924683        -105.200356
LTE-CMP1     2    1540667720.07    738900000.0    32.715117767    -116.4299867        -106.847282
LTE-ATT     2    1540667722.64    739000000.0    32.714749167    -116.430049817        -103.698410
LTE-CMP2     2    1540667725.21    750800000.0    32.71436545    -116.430130133        -113.227188
LTE-CMP3     2    1540667727.78    750900000.0    32.713992083    -116.430212733        -99.574875
LTE-B     2    1540667730.35    751000000.0    32.713601517    -116.430301867        -115.009262
LTE-CMP3     2    1540667732.92    751100000.0    32.713205867    -116.430390317        -116.087990
LTE-CMP4     2    1540667735.49    751200000.0    32.712820667    -116.430471833        -103.296608
LTE-Mex1     2    1540667738.19    1962800000.0    32.712401383    -116.430560617        -105.481735
LTE-C     2    1540667740.75    1942500000.0    32.7119888    -116.430644467        -108.131538
LTE-D     2    1540667743.3    1955000000.0    32.71158315    -116.430724567        -101.804733
LTE-CMP5     2    1540667745.88    1969700000.0    32.7111583    -116.4308102        -103.131752
LTE-CMP6     2    1540667748.45    1970000000.0    32.710733117    -116.430892183        -104.069488
LTE-CMP13     2    1540667751.01    1990000000.0    32.71031975    -116.430970417        -104.468224
LTE-CMP14     2    1540667753.56    1990100000.0    32.709900467    -116.431052733        -102.902443
LTE-CMP15     2    1540667756.12    1990300000.0    32.709444117    -116.4311431        -106.838829
LTE-CMP7     2    1540667758.78    2119900000.0    32.709004667    -116.4312353        -116.887604
LTE-4     2    1540667761.33    2120000000.0    32.708580633    -116.431319783        -100.328026
LTE-CMP8     2    1540667763.89    2120100000.0    32.708123017    -116.431403467        -107.903076
LTE-CMP9     2    1540667766.44    2120300000.0    32.707698767    -116.431465483        -109.988350
LTE-CMP10     2    1540667769.0    2147200000.0    32.707267983    -116.431492267        -104.056084
LTE-F     2    1540667771.55    2147500000.0    32.70685495    -116.431520167        -102.681221
LTE-CMP11     2    1540667774.23    2325000000.0    32.706450167    -116.4315996        -106.401535
LTE-CMP12     2    1540667776.8    2326000000.0    32.706141417    -116.4317006        -109.018639
